eps1,eps2,Cmax,Mcount,TotPena,avgoq,cputime
11.99999935757619,2.308570865897835,18.0,11.999999357861903,2.308570865897835,0.7675000337272501,120.02648899999986
11.99999935757619,2.742856632718265,17.99999871515238,11.999999357846459,2.702856732936378,0.8425000501090572,120.09718889999999
11.99999935757619,3.1771423995386954,17.999958011309126,12.0,3.154284799077389,0.9174994541476551,120.0314449
14.857142306493877,1.8742850990774047,23.999998555833013,13.999999278143783,1.850000108312524,0.662500027078131,120.03628469999967
14.857142306493877,2.308570865897835,15.999980006754551,14.0,2.210001259572957,0.7525003148932392,120.03972829999975
14.857142306493877,2.742856632718265,13.0,14.0,2.742856632718265,0.845,107.38127149999991
14.857142306493877,3.1771423995386954,12.999997440310324,14.000000000169493,3.154284799077389,0.8450000644533956,61.84920659999989
17.714285255411564,2.308570865897835,12.999999999999321,17.0,2.189999999999997,0.7474999999999996,60.34059989999969
17.714285255411564,3.6114281663591257,12.999998001394356,14.0,3.2,0.8300000000000001,52.17804920000026
20.57142820432925,1.8742850990774047,15.999999998299764,17.0,1.8742850990774045,0.6550000000000009,120.03175910000027
20.57142820432925,2.742856632718265,12.999999998600028,17.99999999951432,2.5228566327182653,0.7775000000000001,38.344614900000124
23.42857115324694,2.308570865897835,12.999998001397977,18.0,2.25,0.7625,34.140201799999886
23.42857115324694,2.742856632718265,12.999999998599522,16.0,2.582856632722084,0.8300000000009548,37.24775559999944
29.142857051082313,2.742856632718265,12.99999900069856,16.0,2.7428566327182655,0.7925000000000002,37.12257219999992
32.0,1.8742850990774047,15.999999998299812,23.999999999566572,1.8700000001275146,0.6550000000318785,120.0771078000007
32.0,3.6114281663591257,12.999950034947826,17.0,3.2,0.7925000479664481,20.266190700000152
